,0,1,2,3,4
0,0,216,5,157,0
1,1,218,0,215,0
2,2,281,4,54,0
3,3,28,5,77,1
4,4,270,0,248,2
5,5,112,5,2,0
6,6,216,4,75,3
7,7,153,5,113,0
8,8,78,5,141,3
9,9,29,4,75,1
10,10,162,5,283,0
11,11,122,5,164,5
12,12,237,1,233,4
13,13,248,1,125,2
14,14,4,4,258,2
15,15,153,2,14,4
16,16,29,2,175,0
17,17,123,5,277,2
18,18,104,5,1,3
19,19,224,2,223,0
20,20,111,2,23,2
21,21,118,2,104,1
22,22,266,1,25,1
23,23,72,2,153,5
24,24,277,0,17,2
25,25,155,3,123,2
26,26,255,2,98,4
27,27,86,2,177,3
28,28,86,1,153,3
29,29,94,0,218,5
30,30,224,3,159,0
31,31,104,2,233,0
32,32,248,4,183,4
33,33,178,5,267,3
34,34,248,5,232,5
35,35,177,0,184,4
36,36,258,3,90,2
37,37,236,2,220,5
38,38,195,1,132,3
39,39,78,3,3,0
40,40,221,5,170,5
41,41,80,0,195,3
42,42,72,2,152,3
43,43,258,3,14,0
44,44,162,3,111,5
45,45,229,4,87,5
46,46,238,0,104,2
47,47,158,4,281,5
48,48,54,4,224,4
49,49,112,2,62,1
50,50,3,0,177,3
51,51,166,2,266,2
52,52,123,2,195,4
53,53,76,0,86,5
54,54,100,2,82,3
55,55,111,1,23,2
56,56,66,5,264,0
57,57,236,2,5,5
58,58,233,3,104,3
59,59,189,2,216,5
60,60,131,3,183,2
61,61,38,0,238,2
62,62,59,3,209,4
63,63,141,4,118,1
64,64,108,0,0,3
65,65,215,3,65,5
66,66,229,5,147,4
67,67,258,4,65,3
68,68,4,2,10,3
69,69,265,2,248,1
70,70,203,1,233,2
71,71,161,0,250,2
72,72,197,3,176,5
73,73,124,2,272,4
74,74,171,0,6,3
75,75,59,3,267,3
76,76,267,0,18,0
77,77,283,1,10,4
78,78,126,5,206,0
79,79,195,4,13,0
80,80,111,3,62,1
81,81,42,3,162,5
82,82,10,4,248,2
83,83,40,5,229,4
84,84,213,1,59,3
85,85,28,1,131,4
86,86,113,3,152,0
87,87,111,4,152,5
88,88,51,3,94,0
89,89,112,2,119,5
90,90,246,5,238,3
91,91,128,3,80,4
92,92,143,3,127,3
93,93,78,3,17,4
94,94,216,3,115,2
95,95,59,0,220,1
96,96,198,5,176,5
97,97,232,1,14,4
98,98,165,0,177,2
99,99,154,1,152,5
100,100,100,4,153,4
101,101,146,0,152,2
102,102,153,3,120,4
103,103,58,2,145,0
104,104,176,0,283,3
105,105,87,5,154,3
106,106,77,3,232,1
107,107,65,3,143,1
108,108,260,0,147,3
109,109,232,2,4,1
110,110,239,4,26,4
111,111,153,1,246,4
112,112,231,0,97,4
113,113,28,5,287,3
114,114,120,3,281,3
115,115,162,3,5,5
116,116,216,0,265,0
117,117,284,1,200,4
118,118,94,4,214,1
119,119,130,0,139,0
120,120,224,4,205,1
121,121,72,1,153,5
122,122,183,3,65,0
123,123,4,0,108,2
124,124,209,1,155,2
125,125,125,0,17,0
126,126,14,5,143,4
127,127,129,2,121,4
128,128,213,3,176,0
129,129,286,2,77,2
130,130,108,3,212,0
131,131,266,1,25,4
132,132,238,4,198,5
133,133,22,2,139,0
134,134,147,5,248,2
135,135,156,1,148,0
136,136,176,1,120,5
137,137,58,4,65,2
138,138,107,2,242,5
139,139,104,3,115,1
140,140,166,0,266,5
141,141,134,5,138,3
142,142,224,4,179,4
143,143,90,0,155,0
144,144,215,4,141,0
145,145,267,1,45,0
146,146,17,4,45,2
147,147,213,0,69,3
148,148,140,5,76,0
149,149,176,2,132,5
