,0,1,2,3,4
0,0,82,0,56,5
1,1,653,5,161,5
2,2,775,3,85,2
3,3,539,4,172,4
4,4,266,5,231,0
5,5,555,0,573,3
6,6,478,4,419,3
7,7,340,4,30,5
8,8,731,0,520,5
9,9,268,1,140,0
10,10,105,2,0,0
11,11,10,3,490,4
12,12,241,2,467,4
13,13,677,5,16,1
14,14,338,1,85,3
15,15,283,4,300,0
16,16,302,1,401,3
17,17,372,3,511,0
18,18,9,1,79,5
19,19,620,3,527,0
20,20,471,4,166,3
21,21,166,0,504,2
22,22,314,4,393,0
23,23,650,5,769,5
24,24,36,0,370,1
25,25,562,0,508,5
26,26,0,2,348,2
27,27,698,5,524,2
28,28,704,2,665,3
29,29,0,0,79,2
30,30,666,1,407,4
31,31,450,0,82,1
32,32,698,0,766,1
33,33,555,0,573,2
34,34,525,3,22,3
35,35,124,5,267,0
36,36,291,5,524,0
37,37,100,2,302,1
38,38,422,2,793,5
39,39,500,2,605,1
40,40,145,2,6,5
41,41,570,3,786,0
42,42,455,0,711,5
43,43,256,4,632,2
44,44,688,1,632,0
45,45,562,0,288,0
46,46,188,2,182,5
47,47,186,2,314,5
48,48,464,0,274,4
49,49,279,0,663,0
50,50,663,3,293,1
51,51,256,3,791,5
52,52,711,5,520,5
53,53,357,0,333,0
54,54,249,3,359,0
55,55,253,1,577,0
56,56,359,2,372,0
57,57,556,3,167,1
58,58,135,5,60,0
59,59,723,0,708,2
60,60,561,5,761,3
61,61,125,1,85,4
62,62,25,2,456,5
63,63,593,3,577,0
64,64,533,3,118,0
65,65,151,0,1,0
66,66,681,2,129,0
67,67,370,1,332,1
68,68,627,0,667,3
69,69,472,1,446,5
70,70,386,2,28,1
71,71,85,0,646,5
72,72,519,0,753,3
73,73,324,3,369,5
74,74,20,5,405,2
75,75,519,3,26,5
76,76,734,4,14,3
77,77,719,0,524,3
78,78,525,1,446,5
79,79,9,0,323,0
80,80,430,3,277,0
81,81,154,2,769,4
82,82,743,2,416,4
83,83,82,1,396,4
84,84,527,1,422,3
85,85,769,3,799,2
86,86,390,1,407,1
87,87,676,4,524,2
88,88,62,3,523,3
89,89,47,0,356,0
90,90,490,5,3,3
91,91,353,5,368,2
92,92,561,4,340,2
93,93,211,1,295,3
94,94,766,1,26,1
95,95,94,3,144,3
96,96,140,4,79,2
97,97,241,5,512,2
98,98,85,4,763,2
99,99,140,5,60,5
100,100,736,3,206,4
101,101,663,5,547,1
102,102,681,3,391,4
103,103,641,2,437,4
104,104,673,5,85,2
105,105,632,1,439,1
106,106,135,4,636,3
107,107,261,2,143,5
108,108,239,2,727,5
109,109,639,2,579,5
110,110,642,5,317,3
111,111,115,5,711,0
112,112,629,5,597,4
113,113,336,5,534,1
114,114,149,1,744,2
115,115,612,2,143,1
116,116,323,0,172,2
117,117,582,2,357,3
118,118,688,3,157,0
119,119,534,5,498,1
120,120,79,3,544,0
121,121,766,5,793,0
122,122,436,5,499,2
123,123,407,3,101,2
124,124,620,5,538,0
125,125,597,2,94,2
126,126,75,3,747,1
127,127,676,2,368,2
128,128,133,1,85,3
129,129,234,5,227,2
130,130,762,2,632,3
131,131,209,5,552,3
132,132,357,1,719,2
133,133,346,1,401,5
134,134,266,3,555,1
135,135,204,2,244,5
136,136,723,0,746,3
137,137,495,1,697,0
138,138,577,3,77,4
139,139,239,4,348,3
140,140,655,4,144,5
141,141,677,5,69,5
142,142,694,2,753,2
143,143,712,4,54,4
144,144,763,4,565,4
145,145,534,5,653,1
146,146,656,4,212,2
147,147,270,0,718,1
148,148,186,3,62,3
149,149,700,0,777,4
