,0,1,2,3,4
0,0,240,2,141,4
1,1,38,5,120,2
2,2,92,0,53,5
3,3,106,3,203,4
4,4,253,1,24,0
5,5,45,5,154,5
6,6,206,3,218,2
7,7,16,3,222,0
8,8,115,0,101,2
9,9,34,5,253,4
10,10,169,2,134,4
11,11,25,2,19,1
12,12,243,5,154,5
13,13,141,5,44,1
14,14,216,4,44,2
15,15,168,3,35,0
16,16,23,2,103,1
17,17,5,3,7,3
18,18,197,4,178,4
19,19,190,2,79,1
20,20,144,1,103,3
21,21,246,2,102,0
22,22,38,1,178,0
23,23,31,1,106,1
24,24,154,3,76,4
25,25,187,4,180,1
26,26,118,4,40,5
27,27,213,1,198,0
28,28,190,0,178,0
29,29,253,3,24,1
30,30,193,3,158,3
31,31,141,0,152,1
32,32,163,4,20,2
33,33,248,3,14,1
34,34,251,3,103,4
35,35,108,2,189,0
36,36,164,5,241,1
37,37,106,3,154,3
38,38,169,3,214,3
39,39,103,3,83,5
40,40,152,4,63,1
41,41,0,4,255,3
42,42,234,0,247,4
43,43,168,2,6,4
44,44,19,2,57,3
45,45,187,5,250,3
46,46,190,4,62,3
47,47,187,2,60,1
48,48,23,4,103,2
49,49,26,1,64,3
50,50,22,2,28,1
51,51,190,0,185,0
52,52,238,2,13,0
53,53,23,5,82,4
54,54,241,2,101,3
55,55,76,5,154,2
56,56,47,1,187,2
57,57,84,3,12,5
58,58,239,2,136,3
59,59,251,5,60,4
60,60,103,2,163,0
61,61,44,4,250,3
62,62,147,3,244,5
63,63,239,4,108,4
64,64,169,4,225,2
65,65,154,3,213,5
66,66,190,5,177,5
67,67,106,1,229,5
68,68,169,2,51,2
69,69,204,3,70,1
70,70,209,5,219,2
71,71,51,5,9,1
72,72,146,5,184,5
73,73,220,4,106,3
74,74,219,3,28,4
75,75,79,2,253,3
76,76,13,4,190,3
77,77,160,4,67,1
78,78,64,0,107,5
79,79,206,4,239,3
80,80,14,2,177,3
81,81,225,0,182,4
82,82,182,2,3,5
83,83,100,1,238,3
84,84,20,4,225,5
85,85,219,2,191,1
86,86,7,3,182,5
87,87,66,4,218,1
88,88,143,5,5,5
89,89,38,2,67,4
90,90,180,4,67,0
91,91,38,2,45,3
92,92,36,5,14,0
93,93,54,5,151,2
94,94,146,3,241,2
95,95,180,0,163,2
96,96,215,0,175,5
97,97,7,2,108,3
98,98,167,1,91,5
99,99,248,1,103,2
100,100,133,5,141,5
101,101,186,4,190,2
102,102,163,1,171,3
103,103,103,2,207,5
104,104,68,1,66,5
105,105,24,5,197,4
106,106,143,2,6,4
107,107,14,5,62,0
108,108,248,2,190,3
109,109,22,0,216,3
110,110,58,5,152,1
111,111,100,1,104,3
112,112,123,3,67,2
113,113,165,3,139,4
114,114,146,5,18,0
115,115,251,1,20,5
116,116,74,2,251,1
117,117,11,2,64,0
118,118,226,4,123,4
119,119,147,0,123,5
120,120,93,4,38,5
121,121,19,4,198,4
122,122,51,4,35,3
123,123,163,5,244,3
124,124,114,0,146,3
125,125,116,4,118,4
126,126,160,1,67,5
127,127,14,2,36,1
128,128,116,1,143,4
129,129,54,4,155,2
130,130,6,1,125,0
131,131,87,1,34,2
132,132,178,3,253,1
133,133,68,3,213,1
134,134,6,5,187,0
135,135,28,0,206,3
136,136,248,1,255,3
137,137,223,1,154,2
138,138,146,5,0,2
139,139,235,0,7,5
140,140,224,0,187,3
141,141,197,3,207,4
142,142,146,3,124,4
143,143,123,3,117,0
144,144,154,5,233,0
145,145,34,1,250,5
146,146,107,1,172,2
147,147,254,5,102,0
148,148,189,5,108,2
149,149,163,4,14,3
